POD	eigenval	sigma	acc_eigenval	part_E	acc_part_E
215	4.930587e-12	2.220645e-06	6.715e+05	7.342e-18	1.000000
216	4.930587e-12	2.220645e-06	6.715e+05	7.342e-18	1.000000
217	4.930506e-12	2.221246e-06	6.715e+05	7.342e-18	1.000000
218	4.930506e-12	2.221246e-06	6.715e+05	7.342e-18	1.000000
219	4.917501e-12	2.218546e-06	6.715e+05	7.323e-18	1.000000
220	4.917501e-12	2.218546e-06	6.715e+05	7.323e-18	1.000000
221	4.913023e-12	2.218171e-06	6.715e+05	7.316e-18	1.000000
222	4.913023e-12	2.218171e-06	6.715e+05	7.316e-18	1.000000
223	4.912428e-12	2.216897e-06	6.715e+05	7.315e-18	1.000000
224	4.912428e-12	2.216897e-06	6.715e+05	7.315e-18	1.000000
225	4.907421e-12	2.217197e-06	6.715e+05	7.308e-18	1.000000
226	4.907421e-12	2.217197e-06	6.715e+05	7.308e-18	1.000000
227	4.903012e-12	2.214280e-06	6.715e+05	7.301e-18	1.000000
228	4.903012e-12	2.214280e-06	6.715e+05	7.301e-18	1.000000
229	4.889341e-12	2.212745e-06	6.715e+05	7.281e-18	1.000000
230	4.889341e-12	2.212745e-06	6.715e+05	7.281e-18	1.000000
231	4.888751e-12	2.213197e-06	6.715e+05	7.280e-18	1.000000
232	4.888751e-12	2.213197e-06	6.715e+05	7.280e-18	1.000000
233	4.886148e-12	2.213233e-06	6.715e+05	7.276e-18	1.000000
234	4.886148e-12	2.213233e-06	6.715e+05	7.276e-18	1.000000
235	4.885588e-12	2.210337e-06	6.715e+05	7.275e-18	1.000000
236	4.876222e-12	2.208447e-06	6.715e+05	7.261e-18	1.000000
237	4.876222e-12	2.208447e-06	6.715e+05	7.261e-18	1.000000
238	4.871624e-12	2.208321e-06	6.715e+05	7.255e-18	1.000000
239	4.871624e-12	2.208321e-06	6.715e+05	7.255e-18	1.000000
240	4.868701e-12	2.207390e-06	6.715e+05	7.250e-18	1.000000
241	4.868701e-12	2.207390e-06	6.715e+05	7.250e-18	1.000000
242	4.867374e-12	2.206739e-06	6.715e+05	7.248e-18	1.000000
243	4.867374e-12	2.206739e-06	6.715e+05	7.248e-18	1.000000
244	4.866356e-12	2.206010e-06	6.715e+05	7.247e-18	1.000000
245	4.866356e-12	2.206010e-06	6.715e+05	7.247e-18	1.000000
246	4.864439e-12	2.206173e-06	6.715e+05	7.244e-18	1.000000
247	4.864439e-12	2.206173e-06	6.715e+05	7.244e-18	1.000000
248	4.864200e-12	2.205840e-06	6.715e+05	7.243e-18	1.000000
249	4.864200e-12	2.205840e-06	6.715e+05	7.243e-18	1.000000
250	4.855189e-12	2.203449e-06	6.715e+05	7.230e-18	1.000000
251	4.852459e-12	2.202928e-06	6.715e+05	7.226e-18	1.000000
252	4.852459e-12	2.202928e-06	6.715e+05	7.226e-18	1.000000
253	4.839057e-12	2.201713e-06	6.715e+05	7.206e-18	1.000000
254	4.839057e-12	2.201713e-06	6.715e+05	7.206e-18	1.000000
255	4.824410e-12	2.197781e-06	6.715e+05	7.184e-18	1.000000
256	4.824410e-12	2.197781e-06	6.715e+05	7.184e-18	1.000000
257	4.820449e-12	2.198216e-06	6.715e+05	7.178e-18	1.000000
258	4.820449e-12	2.198216e-06	6.715e+05	7.178e-18	1.000000
259	4.815274e-12	2.194536e-06	6.715e+05	7.171e-18	1.000000
260	4.815274e-12	2.194536e-06	6.715e+05	7.171e-18	1.000000
261	4.813155e-12	2.196148e-06	6.715e+05	7.167e-18	1.000000
262	4.813155e-12	2.196148e-06	6.715e+05	7.167e-18	1.000000
263	4.804485e-12	2.191967e-06	6.715e+05	7.155e-18	1.000000
264	4.804485e-12	2.191967e-06	6.715e+05	7.155e-18	1.000000
265	4.798871e-12	2.191145e-06	6.715e+05	7.146e-18	1.000000
266	4.798871e-12	2.191145e-06	6.715e+05	7.146e-18	1.000000
267	4.793463e-12	2.189993e-06	6.715e+05	7.138e-18	1.000000
268	4.793463e-12	2.189993e-06	6.715e+05	7.138e-18	1.000000
269	4.788299e-12	2.189898e-06	6.715e+05	7.130e-18	1.000000
270	4.788299e-12	2.189898e-06	6.715e+05	7.130e-18	1.000000
271	4.787273e-12	2.190669e-06	6.715e+05	7.129e-18	1.000000
272	4.787273e-12	2.190669e-06	6.715e+05	7.129e-18	1.000000
273	4.784926e-12	2.187447e-06	6.715e+05	7.125e-18	1.000000
274	4.782681e-12	2.186947e-06	6.715e+05	7.122e-18	1.000000
275	4.782681e-12	2.186947e-06	6.715e+05	7.122e-18	1.000000
276	4.777941e-12	2.186685e-06	6.715e+05	7.115e-18	1.000000
277	4.777941e-12	2.186685e-06	6.715e+05	7.115e-18	1.000000
278	4.776093e-12	2.187601e-06	6.715e+05	7.112e-18	1.000000
279	4.776093e-12	2.187601e-06	6.715e+05	7.112e-18	1.000000
